"Settings","Definições"
"Setting","Definição"
"Yes","Sim"
"No","Não"
"Buy Floating Button","Comprar Flutuante"
"Enable","Habilitado"
"Defines whether the module is active or not.","Define se o módulo está ativo ou não."
"Box Background color","Cor de Fundo"
"Background color of the button box.","Cor de fundo da caixa do botão."
"Color Hide Button","Cor do Botão Esconder"
"The button color to hide the box.","A cor do botão para esconder a caixa." 
"Color Hidded Button","Cor do Botão Escondido"
"The button color when the box is hidden.","A cor do botão quando a caixa estiver escondida."
"Margin Top","Distância do Topo"
"Margin in the box is the top of the screen.","Espaço em que a caixa ficará do topo da tela."
"Side Margin","Distância da Lateral"
"Margin in the box is the side of the screen.","Espaço em que a caixa ficará da lateral da tela."
"Position of the Floating Button","Posição do Botão Flutuante"
"Which side of the screen the button box should appear.","Qual o lado da tela a caixa do botão deve aparecer."
"Set Right","Fixado na Direita"
"Set Left","Fixado na Esquerda"
"Box Size","Tamanho da Caixa"
"Add to Cart","Adicionar ao Carrinho"
"If left blank the box assumes the automatic size.","Se ficar em branco a caixa assume o tamanho automático."
